transcript_id,guest_name,gender,passage_id,passage,passage_words
IFF-001,Cindy Greenglass,Female,IFF-001#P11,"I looked for what was missing and what was missing was that companies could not figure out how to use the data they had. And I said, I can tell the greatest story. I can figure this out for you. And Dave, I've said it to you before. I can make a gourmet meal in anybody's kitchen. That's what I'm gonna do for you. Put me in your kitchen. I'm going to figure out where all the everything is and I'm going to make the meal",86
IFF-001,Cindy Greenglass,Female,IFF-001#P12,"my first startup was actually a database, you know, management startup back in the day. And at the time there was no such thing as, you know, data and databases convincing companies. They needed it. There's never a way to go. Companies need to solve a problem they see in the market or bring a solution that they think is needed to a specific area.",65
IFF-001,Cindy Greenglass,Female,IFF-001#P13,"I saw that companies were deer in the headlights when they looked at all the data and worse, the people working in the companies didn't have any idea, didn't have the skills to do it. So I said, let me, let me help you. I'll, I'll teach somebody. in your company, how to connect the dots. That was a need that developed into more needs. identified in other businesses and ultimately grew, you know, my company and through collaboration and acquisitions into, you know, a hundred million dollar business",89
IFF-002,Paulina Cameron,Female,IFF-002#P1,"I went to university for finance and accounting because I was good at math. That was a natural parallel that was drawn. So I went to UBC to the Sutter School of Business. I graduated finance and accounting. In my second year, I got an internship or a summer placement rather with KPMG. And so began down that path while I was in university. I was very interested in some of the community involvement and leadership.",76
IFF-002,Paulina Cameron,Female,IFF-002#P2,"One of the things that we were really encouraged to do at Sutter is to go out, network, start building our relationships in the business world. And so I did accept, I found it greatly frustrating and disappointing because most of the events I was going to had a white older male on stage. Sorry, Dave, no offense. It was just getting a bit mundane and boring and same, same. And I wanted to hear from experiences of women.",79
IFF-002,Paulina Cameron,Female,IFF-002#P3,"And so myself and this group of women started the organization. We actually started it by doing a conference. So we put together a three day, 350 person conference where every single one of the 60 or so speakers was a woman, either entrepreneur or CEO. And it was really incredible. And there was a lot of energy around it.",60
IFF-002,Paulina Cameron,Female,IFF-002#P4,"So I led Young Women in Business for about eight years before I transitioned out. It's since real to have multiple chapters across the province. So it went from a conference to being a volunteer chapter model base across the country. And I worked at KPMG for four years, first in their audit practice and then an assurance practice.",59
IFF-002,Paulina Cameron,Female,IFF-002#P5,And then I actually left KPMG called Turkey because I knew that I didn't see myself in the path of public practice for where I wanted my work to go. I wanted to have a broader look at business. I wanted to be learning by doing a little bit more quickly as opposed to being on the back end of business. And I was really interested in entrepreneurship innovation and had a really deep passion for women and leadership. And I wanted things to move quickly in that regard.,89
IFF-002,Paulina Cameron,Female,IFF-002#P6,"And then took over as Western Canada regional director a few years later, where I supported all of the teams in the provinces of BC, Alberta and Yukon. And which is a role I got when I was eight months pregnant. And then when I was five months pregnant with my second child, took on the role of CEO of Forum for Women Entrepreneurs, which is where I am now.",70
IFF-002,Paulina Cameron,Female,IFF-002#P7,"During my time at Futurepreneur, I also ran a food delivery startup with my husband for a four month summer pilot. And I wrote a best selling book called Canada 150 Women, where I interviewed 150 women and that has phenomenal stories from across Canada. And yeah, two babies, a few fun, really cool jobs later. And we are on the call today.",63
IFF-002,Paulina Cameron,Female,IFF-002#P8,"And so we've made that trade off that right now we are investing in my work and my career and growth. And we are being very, very lean with life for us to be able to do that and for our kids to be able to be home with another parent.",51
IFF-002,Paulina Cameron,Female,IFF-002#P9,"When I wrote Canada in 50 Women, one of the reasons I wrote it was because I was so tired of people saying, Oh, what are like, what's a great leader that we know? Who's a story of someone we should feature? Who's a female? Who's a CEO we should think of? Never anyone would think of a woman's name to suggest for those things.",65
IFF-003,Sarah Planckaert,Female,IFF-003#P1,"I really came to this world because I was in leadership roles in retail and hotels. quite a long time and I knew that I loved seeing other people succeed. I just loved it. I just love, loved it. And I went, how do I make a profession out of that? How do I help other people achieve things? And you know, at first I actually had contemplated doing an MBA and something inside of myself, probably like gut feeling, right? That gut feeling that people talk about a lot said, this doesn't feel quite right.",96
IFF-003,Sarah Planckaert,Female,IFF-003#P2,"I dug around though and found it was about helping other people excel, which is exactly what I wanted to do. So I jumped in with two feet. I signed up for the Royal Roads University executive coaching program at the time. And the minute I walked in that classroom, I knew. that this was what I was doing for the rest of my life. Hands down, hands down. I just loved it, loved it. Best place to play, let's put it that way, in my world.",87
IFF-003,Sarah Planckaert,Female,IFF-003#P3,"Literally, I meet with executives on a one-to-one phone call and no one else is there, it's just us. And not just executives, leaders, senior leaders, managers, it's often where it happens in organizations and corporations. And we talk about places where they're stuck. Where are they challenged in leading their team? Where are they challenged in their own growth that they're having, they can't see the path forward, but they know they wanna go there.",76
IFF-003,Sarah Planckaert,Female,IFF-003#P4,"I was a problem solving addict. I wanted answers quick. I wanted to get the task done. Like that's who I was when I started coaching. So for me, coaching flipped my world. Slow down, think through this, connect, listen. Some people are naturally inclined to that and might not need to be fully certified. I think some coach training, you know, I mean, just sitting in classrooms, that's what I do is I sit in classrooms and I help leaders learn these skills.",84
IFF-003,Sarah Planckaert,Female,IFF-003#P5,"Like with my friends sometimes I'm like, I wish y'all were coaches. Like I go to a party and people are like, damn, you ask good questions. I'm like, well, I'm a coach for goodness sake. But imagine if we all, they're like, you listen so well. Wow, you really acknowledged me there. And I was like, well, what if we all had those skills?",65
IFF-003,Sarah Planckaert,Female,IFF-003#P6,"And something people don't know about coaching, which I think is a superpower for any human, is how are you listening to yourself? How are you listening to what you need, what you want? In what ways will you thrive in this world? Don't try and do what everyone else tells you to do. try and listen to what's gonna light you up and what's gonna drive you forward in your career.",72
IFF-003,Sarah Planckaert,Female,IFF-003#P7,"Inside of you is an answer that's unique to you. And yeah, you gotta be pragmatic, you gotta pay your rent. But inside of you, there's an answer about where you're gonna go on this career journey, where you're gonna go as a leader. And that's what you gotta tune into, that voice. And it's quiet. We've been taught to quiet that voice down. So I say, get it, make it loud, get it? Make it loud, make that voice loud, your voice.",83
IFF-004,Tess & Eris,Female,IFF-004#P1,"During the pandemic, I was operating a sole proprietorship, which is very small before launching into this 1700 square foot studio, which now has about five employees. And part of the reason that we decided that we wanted to take the jump and become business owners was also to have more decisions over the changes we wanted to see in our industry and the services that we wanted to see offered to our immediate community at East Van",78
IFF-004,Tess & Eris,Female,IFF-004#P2,"So for us, we both experienced limitations in what we were being taught versus what we were seeing our peers being taught and how we were being promoted and the jobs that we were given and the challenges that we were able to expand into and also having a lot more customer service put on our shoulders versus doing more of like hard manual labor, which is really interesting and like satisfying work. And so we wanted to take on more of those jobs and we also wanted to see those positions being opened up to our staff",98
IFF-004,Tess & Eris,Female,IFF-004#P3,And we just had the gusto to want to get out there.,12
IFF-004,Tess & Eris,Female,IFF-004#P4,"So we're both queer owners, and we faced a little bit of pushback in our industry because of this. And I think for a lot of queer people, it's just the knowledge that you can walk into spaces where you're not going to be judged, or where your questions may be understood for people who are transitioning who might need different alterations in their clothing or stuff like that. I will say that we have taken a step back from branding ourselves of this because we've gotten a lot more online hate, and the anti-queer rhetoric in Canada is getting really bad.",102
IFF-004,Tess & Eris,Female,IFF-004#P5,"We also learn from our staff. We hire a lot of really creative people, people who've gone through fashion school or arts programs in different ways who end up working with leather because it's this really interesting textile and their creativity, the way that they can help us figure things out is invaluable, yeah. Things work better when you have a more diverse cast pooling their knowledge.",67
IFF-004,Tess & Eris,Female,IFF-004#P6,We've gotten part of our startup loan was like a woman specific program and I myself am a non-binary person so I just opted into that because why not.,29
IFF-004,Tess & Eris,Female,IFF-004#P7,"I mean, I think when businesses are making decisions and how to brand themselves and what to put out there and advertise, you have to consider what is safe for yourself and your staff. And so we have started branding more along the lines of like sustainability, really high repairs, the fact that when you walk into our store, we're going to go through every single step with you to make sure that what you're getting is exactly what you expect. So those are the types of things that we really are very proud of, and we're proud to be queer too. But we want to focus on our work.",110
IFF-004,Tess & Eris,Female,IFF-004#P8,"You'll also find that a lot of our repairs and the work that we're doing for customers is guided by the customer, it's your choice and fear to make that happen for you. But a lot of the things that we make for ourselves in our own private art practices like Tess is a quilter and has started doing a lot of like leather quilted bags that you'll see in our display for sale. And so a lot of our retail items actually reflect more of our internal creative selves rather than our repair process.",95
IFF-005,Azrah Manji-Savin,Female,IFF-005#P1,"I'm Azra, like you said, CEO and co-founder of Sizzle. We've been doing Sizzle for just over two and a half years now. And we'll get into what we do. We are like Airbnbs for kitchens. And we're going to have a lot of fun talking about that. But prior to Sizzle, I've had a lot of experience, really, breadth and depth of different industries, dabbled in tech, worked at LinkedIn, worked at WeWork, launched markets for them. Prior to that, worked in the entertainment industry at Warner Brothers, MGM, SoulPancake, lived in New York, LA. So the full gamut of experiences and kind of have some crazy stories along the way.",112
IFF-005,Azrah Manji-Savin,Female,IFF-005#P2,"when I was in school and looking at the world around me, it wasn't that long after 9-11 when I was really trying to figure out my career, what does it mean to be a woman in not just our society, but a woman of color? What does it mean to be a visible minority? Who wants to be in leadership? And I think for me, one of the things that really came up was, okay, where are the conversations happening that women are not part of? Where are women not at the table? Where do we need to make strides?",101
IFF-005,Azrah Manji-Savin,Female,IFF-005#P3,"As some of my decisions and the companies I chose to be part of in the industries is, okay, if I want to make significant impact, I have to learn what these industries are like. I have to learn how to be able to speak the language and educate myself so I can make real long-lasting impact and change. And that's kind of led me to where we are today is I don't think I'd be an entrepreneur. I don't think I'd be supporting the businesses that I do today if I didn't make that decision way back when, when I was an undergrad, that this was a path I wanted to undertake because you didn't see people like me at the table.",123
IFF-005,Azrah Manji-Savin,Female,IFF-005#P4,"I'm really fortunate as a woman in tech, especially in Toronto, to have had some really, really strong female advocates and mentors. The companies that I worked at, and I'll take LinkedIn as a great example of this, I had female managers. There were really strong female advocacy and ERG groups that didn't just say, oh, it's about supporting women in tech. They actually went and did things. They made sure that we had mentors that weren't just lip service. And that's rare, and that's hard to find.",88
IFF-005,Azrah Manji-Savin,Female,IFF-005#P5,"from my personal background and the background of my co-founder, both our parents were immigrants and refugees, the fastest and easiest way for immigrant communities to make money is by selling food. That's how you stay close to community. That's how you keep your culture. God knows, in undergrad, that's how I ate. I ate on those $10 plates and I kept it in my dorm fridge. And that's what's part of the community.",74
IFF-005,Azrah Manji-Savin,Female,IFF-005#P6,"in my professional life, I worked at a company where I did shared real estate, right? I worked at the largest shared real estate company in the world, right? Open Mark is where we work. And that again, it gave me that background, that skill. It was like, wait, how come no one's doing this? How come no one's doing this? How come no one's tackling this peculiar issue on how it doesn't relate to office space, it relates to kitchen space because it has tangible physical product. How do we re-utilize existing assets? And so that's what really led to the inspiration for Sizzle.",105
IFF-005,Azrah Manji-Savin,Female,IFF-005#P7,"My co-founder and I spent a year in research because we've both been in tech a long time. We've seen a lot of solutions made for problems that maybe not be as big as we think they are. So we wanted to really be sure. And we learned that the problem Sizzle is solving is actually much bigger than either of us thought. And this is such a massive, massive undertaking of people who participate in the food gig economy and have nowhere to expand and nowhere to go. And that's what kind of led us on this journey to where we are now.",104
IFF-005,Azrah Manji-Savin,Female,IFF-005#P8,"I'm not trying to do the Uber model of move fast and break things and be crazy with... This is food poisoning, right? To your point. This is in-house and safety. This is hot oil frying. This is big machinery. You have to go with the law. You have to go with the right training. So, working with our government partners, working with our food safety partners, that's what's critical.",70
IFF-005,Azrah Manji-Savin,Female,IFF-005#P9,"I'm not outsourcing my developers to a team in Brazil or in Romania. We have this talent here in Canada. We are paying Canadian developers to build this product so we have our IP here. That's a big cost. For us, it's worth it, right? Because again, my co-founder and I have been in technology a long time and we've seen the challenges of outsourcing your code. If you don't own that IP, it's a very slippery slope. Someone can hold your code hostage.",84
IFF-005,Azrah Manji-Savin,Female,IFF-005#P10,"We do not charge kitchens to list. I do not charge in that way. We make money when our customers do. We take transaction fees. And what that does is that builds trust in an industry that has very little trust. It builds trust with a group of people that are inherently very skeptical. The restaurant industry is very challenging. So by us showing that, hey, we'll only make money when you make money. That's it. That really is what set, I think, our business model apart and has allowed us to thrive.",93
IFF-007,Andre (MuseFind),Female,IFF-007#P1,"So you might, you might see, you know, from from from paper, I'm like an accountant, I'm a finance guy, but I'm not your typical accountant. So I started off in business school. You know, doing accounting, but I've never wanted to be, you know, sort of like, you know, doing accounting partner or doing audits for the longest time, and I'm using my background in accounting to help me get an understanding better of how the business works.",79
IFF-007,Andre (MuseFind),Female,IFF-007#P2,"So after graduation, I worked for Telus in their corporate finance team, rotate through different areas. And the more I worked in sort of a big corporation, the more I felt like I need to create something and I need to be more flexible. And I can be, I can be just a structure fix, you know, in terms of my process in terms of what I can do. So then I started to go on, you know, to different, you know, entrepreneurship competition, startup events to get myself out there to be familiar with, you know, meeting people.",99
IFF-007,Andre (MuseFind),Female,IFF-007#P3,"And one of them happened to be Startup Weekend back in 2014. So back then, you know, basically, it is a three day event, right, with, with like, judges and competition, and then the winner will go on to the neck to the world Startup Weekend competition. So that's where I met my co founder. And, you know, we didn't win that event, we placed close to the top five, but we didn't win it, but it actually fuels us to work harder.",83
IFF-007,Andre (MuseFind),Female,IFF-007#P4,"And then, you know, what started as sort of like a, you know, one or two days a week becomes, you know, more and more and then and then one time, we decided to apply to sort of incubator program in, you know, outside of Canada or in Canada. And then, long story short, we get accepted to New York, we left our all our all our full time jobs and then we went to New York and then yeah, here we are right now.",85
IFF-007,Andre (MuseFind),Female,IFF-007#P5,"Yes, and that's one of the reason why we decided to switch into a more self-serve platform, right in the in the past What we did is we managed the brand's budget So let's say the brand has a hundred thousand dollars and then we say okay with a hundred thousand dollars Sort of like an agency model where you know You can get this many influencers and this many engagement and impressions and the way we have to do that is we have to recruit the influencers sending them emails and Reaching out to them following up and then not doing DMS all kinds of things, right?",108
IFF-007,Andre (MuseFind),Female,IFF-007#P6,"Yeah, pivot has been a part of a daily life, right? And in the very first pivot, what we did, when we went to New York, we came back, and then we decided to focus on medium sized brands, right? And then trying to sign them on. And what doesn't work then, is that they are taking so long to make decisions. So some of them took two months, some of them took, you know, two and a half months to make decisions, whether they can go with our platform or not. So we said to ourselves, we can't wait two months to get a decision, we need to be moving quickly, we need to get our data and traction. So what we did is we start working with a smaller size brand, right?",134
IFF-007,Andre (MuseFind),Female,IFF-007#P7,"And then after about six months from there, we found that these smaller brands are not really reliable, because we didn't really filter them that much. So then what ended up having is influence are disappointed, because, hey, the brand never sent me the product, or the brand sent me the product, but I don't like the quality, right? And then we then have to pivot to a bigger brand, right, which then that is our last product before our product right now.",83
IFF-007,Andre (MuseFind),Female,IFF-007#P8,"Well, the bigger brands for us, the bigger brands started to ask questions about, hey, can I create this feature, one off feature here and one off feature there, and our platform becomes really stretched, because we're trying to be we're trying to make everybody happy. And then it's sort of like not really scaling because of that, right? So then with now, it's easier to scale, because one thing that is implemented across the board, everybody will benefit.",79
IFF-007,Andre (MuseFind),Female,IFF-007#P9,"And that really, that really, really requires data. So when we did the pivot, we didn't do the pivot out of the, out of like a feeling or out of the, I think we should do this, but when we have, whatever we have that, and it's open, open, open conversation with our team members as well. Then we set up on a meeting and then decided, okay, if you think this is the next way to go, what are the data that we need to collect in order to make that decision, right?",94
IFF-007,Andre (MuseFind),Female,IFF-007#P10,"For example, the very last pivot that we did with pivoting to Shopify and Etsy, we went out there and interviewed about a hundred Shopify and Etsy customers, and then asking them what are their needs? What are they struggling with in post-marketing? What do they like to see? And then if they have a magic wand, what would they create, right? And then we filter out the one-off question, one-off answer, or anything that is on the extreme side of things, and then we know that, okay, there is something in the small business that's not being served right now.",101
IFF-007,Andre (MuseFind),Female,IFF-007#P11,"Not without risk, because when you have big corporations, you have the steady cash flow coming in, you have much more brand, and then you can put the logo, like everybody did on their site, right, big logos. Nobody knows small companies if you put their logos. But because we are very sure that based on our data, that that's the direction that we go, then we basically take the leap of faith, and then the entire team sort of supported it as well.",84
IFF-007,Andre (MuseFind),Female,IFF-007#P12,"I mean, I mean, I'm not going to pick about news find because you can easily be afraid about it the longest time. But what I can say is, you know, as you're starting off for fellow entrepreneurs out there, especially the one that you're starting out, when you're starting out, you know, people will come to you and in the ability, you know, you want to say yes to everything and you want to just accept any opportunity that comes in. That is good. But at some point in time, you need to be able to say no.",99
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P1,I basically went at it with the perspective of I do something until I didn't like it anymore and then I would change I I grew up in a very um interesting environment My dad was a mining engineer and he was a specialist international specialist in arctic mining so lived all over this country across the arctic circle in green land moved the time when I was a kid and The reason that's important is is that it instilled a certain level of adaptability ease with change resilience that that is definitely part of who I am today as a professional,102
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P2,"My first job was actually in politics Which is such a great petri dish for human behavior and so many great lessons on what you don't want to do And early on in my career was it was hugely illuminating because at the age of you know, 23 24 After getting my first degree, it was like oh look that's it. No Um So it was uh, it was it was a huge learning curve. Um, I learned how to deal with the media I learned how to make tough decisions I was the second signing authority on all the expenses at the age of 23 I ran the budget because my boss wasn't interested in it So I had to tell these, you know, 50 year old politicians that know that expense was not Okay Um, and so it was a huge huge Foundational piece in sort of, you know who I am and what mattered to me",159
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P3,"from there I moved I sort of crossed Over and moved into a government role in uh in communications Which I did for about six months. You'll you'll see a theme in my life. I get bored very easily Um, so after about six months, it was like, okay now what? um, and my contract was coming up and they offered me a full-time job and I went home and flipped a coin and heads. It was paris and tails It was barcelona because those were my favorite two cities. Um And uh and paris won so I I was 24 25 sold everything I owned Didn't speak the language Um had bc high school french and I went to really bad high schools Um, so it was I could conjugate irregular verbs But I could not make a sentence to save my life. Um landed in paris with no place to live no job No language no nothing um, and basically adult my life over",166
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P4,"because of my political background I ended up working primarily with executives Then I got into like the business communication business negotiation side of things because I had that background um, and it sort of Went up from there. Um, so and and I worked in manufacturing. I worked in Press I worked for the wall street journal for a year Like I did some crazy stuff which you can only do really in foreign countries because it's the language They'll overlook your lack of skill set because you have the language that that they want and so That all that opened up some opportunities",105
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P5,"I met my husband there. I ended up staying there for 12 years. The foreign service was not in the plan And everything karta had to be rejigged and and I think it's a perfect example of You know, you can start with a goal and then stuff happens, um And uh, and you end up doing something completely different",60
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P6,"I came back in 2005. I sponsored my husband in as an immigrant So we went through the whole starting over again thing again Because even as a canadian being out of the country for 12 years uh, no network no, right, so it was it was starting from zero and um And yeah, and then uh, and then went uh You had to get a real job Had to get a real job and uh to sponsor my husband in that lasted about two and a half years And then I went back out on my own I'm not good at being an employee. Let's just do it that way",111
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P7,my answer to that was I don't have local experience because I haven't been here for 12 years But I speak two languages fluently I have a master's degree and I have more experience than you're ever gonna find here So what's your problem was basically my answer and they ended up surprisingly hiring me after I got mad at them,61
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P8,"Took the May long weekend to try and convince myself because at the time I was the only one that had a full-time salary with benefits because my husband was still building his career back up after starting from zero again and Realized that I didn't want any of them and Decided that it was the moment to go back out on my own and start my business again in the middle of a financial crisis And Yeah, started first year. I think I made thirty five thousand dollars with a family of four in the lower mainland in 2005 and or 2008",103
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P9,when I look back It's really interesting when you have sort of perspective in the rear-view mirror because everything that I did Contribute somehow to what I do today Having worked in so many different industries and being exposed to so many different Organizational cultures and roles and sectors as a coach I can go into any organization I don't care what you do and I can figure it out and you know five minutes that you know The business acumen that I built up makes a huge Differentiator for me in the marketplace because a lot of coaches come from an HR background and they don't necessarily have that But it's that adaptability and being able to go in and just kind of figure it out really quickly That has been an enormous help,135
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P10,"at the time It really looked like a failure because every 18 to 18 months to two years. I wasn't even just changing jobs I was changing industries And nothing was ever really sticking and it was kind of you know You sort of slog on and figure you're gonna find it figure it out one day And my one day showed up when I was about 40 So, you know for everyone who thinks that you got to figure it out by the time you're 22",87
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P11,"I'm not a classic product of the coaching profession, I would say. So there's things that people do in the coaching profession that I don't. So for example, a lot of coaches will have you commit to a six month relationship, because a lot of people will leave that you can't do anything in less than six months. And that the longest should be nine, roughly nine months, and then you're kind of for me, it really depends on the individual",81
IFF-008,Jennifer Griffiths-King,Female,IFF-008#P12,"I'm at a position in my business and my career where I get to choose um, and I have my own filter and I won't work with organizations or with clients who I do not feel have Um, I wouldn't say the right motivation because there's lots of different motivations, but there has to be a willingness to change And part of my job, especially at the senior leadership level is to tell the truth I'm often the one coming in and seeing things. I'm often the one that's calling them out I'm often the one that's saying hey, is that really what you wanted to do or say or You know, here's the impact",115
IFF-009,Claire,Female,IFF-009#P1,"Well, you know, it's always hard to summarize my career or kind of how I got to where I am now very quickly. But, you know, after I felt like a lengthy career in consulting, working in London in various industries, including capital markets and energy. I found myself making a bit of a personal decision to move from London to Vancouver. And that was very much based on what I decided to prioritize in my life at that time, which was being able to be closer to the mountains, be closer to the sea and be able to pursue a lot of the outdoor hobbies that I missed when I was in London.",114
IFF-009,Claire,Female,IFF-009#P2,"And so since moving over, I've loved I've loved being here and you know, I think it's given me a lot of opportunities, one of which was discovering Rainstick and the clean tech and sustainability mission of our company. And I'm very, very grateful to have had the opportunity to work with this company and also to get my first startup experience as well.",64
IFF-009,Claire,Female,IFF-009#P3,"even in the two years that I've been at Rainstick , we've done so much, but there's also been a lot of lessons learned there where we have sometimes stretched ourselves too thin, had to draw back and say, okay, what is our core focus? What do we want to achieve in the next few months and in the next few years? you know, that can sometimes be a bit of a struggle when, especially as someone like myself, who's very used to thinking way out into the future, but as a startup, when you have a small team, have to be agile and nimble",105
IFF-009,Claire,Female,IFF-009#P4,"so I think for me, you know, I felt like I learned a lot from just a personal perspective, being at Rainstick with, you know, I think a lot of people, when they think about sustainability, tends to be something that they feel is overused. Or maybe they become a little bit disengaged with it because it's a word that gets thrown around a lot. Or sometimes you feel like what, what impact am I really having? You know, I'm trying to do these small things every day, but if the bigger companies are not doing it, then what. What does that mean? Like, I just give up? And, you know, sometimes it can feel a little bit disenchanted with, with kind of what is having real impact.",128
IFF-009,Claire,Female,IFF-009#P5,"and so for myself, you know, since joining this startup and kind of being part of a startup community of those who are passionate about climate change, who are working on these technologies, it's exposed me to so much more people who are, I would say in a similar boat to myself and my team. you are really plugging away at these technologies that maybe the mass market won't ever hear about, but that is doing real good and really, really exciting things that's really, really affecting change. And that has made me, given me so much more drive, but also being able to share the challenges of startup with that community has been so beneficial and so rewarding.",119
IFF-010,Adele Farhadian,Female,IFF-010#P1,"Okay, so I have to clear this up. It's not like she doesn't know my name. She does. My real name is Deliram, and she always says, just go with Deliram. It's much better, much nicer, blah, blah, blah, and, but, you know, like, eventually my name evolved into Dell, and then people hearing, oh, is this a Dell? And I'm like, yeah, go for it. So now I'm at a Dell, it just happened to me this way. But my family, obviously, they just, they still call me Deliram. But in the industry, I'm more known at a Dell, if I'm known at all.",105
IFF-010,Adele Farhadian,Female,IFF-010#P2,"you know, it started from business and studying my MBA. And during the MBA we had, because it was an e-commerce MBA, we had a lot of courses that had, you know, technology involved. And security was just one of them. And, you know, I just kind of fell in love with it. But then I never knew that I'm going to go into it till our professor said, oh, you know, guys, like, this is going to be the boom of your generation. And, you know, there's going to be a lot of money. And then I'm like, ding, ding, ding, ding, ding, money, money, money. I'm like, yeah, okay, okay. Sounds like this is a good idea.",119
IFF-010,Adele Farhadian,Female,IFF-010#P3,"I don't know how much you know about like, how you get into the university in Iran, but there is a, there's a big exam that it's a one in a year opportunity. And I really sucked at that exam really badly. So, you know, I just got into business that way, I was supposed to go to engineering and stuff, just like Hillary, but she did much better on that exam. So then, then I just, you know, went to business. And because of all that, you know, security stuff, I was like, okay, maybe that's a better way to get back to what my passion was originally.",109
IFF-010,Adele Farhadian,Female,IFF-010#P4,"The way I started security is I started with the very high level governance compliance stuff that actually touches all the 12 domains. And but but it doesn't go so deep into into them. And it's not super technical. So then so I started everything backwards, usually, let's say you're a network admin, and you go to the security of networking, and then you master that. And then you come out and go to the governance and figure stuff. And or like, let's say, development, you are a developer, and then you go to security development, and then go back up. And so what I did all the way around, I just came back like from, from governance and compliance and business side of security into now more technical stuff.",130
IFF-010,Adele Farhadian,Female,IFF-010#P5,"I researched a little bit and I came up with these courses that were done in and you a Emirates United Emirates and Because Iran was like a little bit, you know, like like we didn't have so many courses from the other countries like mobile Courses right globally well-known courses. So I went to them to this I got I found this And I was like, okay, so it kind of fits my budget I have to go to UAE, which is awesome because you know, I have family there and then I was like, okay, so It doesn't have any prerequisite. And so probably will be okay. And then that was an auditor Course it was ISO 027 devil 01 auditor course and I became The auditor of that ISO standard, which is a security standard",138
IFF-010,Adele Farhadian,Female,IFF-010#P6,"and my browsing and Google searching skills wasn't as good as it is today back in 2004 You can you can guess like probably it was the same for a lot of other people too You know, so it's not like I had a lot of options either So I wanted to stay close to Iran or even in Iran like have a course in Iran But yeah, I came up with this but then a year after they started the course in Iran.",84
