sensitivity,intelligence,dedication,dynamism,tyranny,masculinity,dominant_dimension,confidence_sensitivity,confidence_intelligence,confidence_dedication,confidence_dynamism,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
illustrated,illustrated,central,central,absent,absent,dedication,0.75,0.7,0.95,0.9,Tyranny and masculinity receive no invocation. The passages provide no evidence of authoritarian behavior or traditionally masculine self-presentation.,"P6 explicitly distances from emotional decision-making ('you have to make sure that you don't let emotions get into play'), which could contradict sensitivity as typically conceived. However, this appears strategic—managing perceptions of women as overly emotional—rather than rejecting interpersonal attunement.","These passages follow a classic success narrative arc: humble origins, barrier-breaking achievement, hard work vindicated. This could be interview convention—telling the expected story—rather than spontaneous identity work. The mentorship frame (P7) is particularly conventional for women leaders.","I worked 12, 14 hour days in order to ensure that I was able to rebuild the organization || I'm very driven, I'm very ambitious, and I want to make sure that we differentiate ourselves from the competition || I had to prove myself || I've been a mentor to so many women || you need to instigate initiatives, you need to act on or respond to a variety of issues at any given time || in my head are 50 to 60 different issues that I have to respond to or connect the dots for or strategize","The speaker constructs herself through relentless work ethic and multi-directional energy. Dedication is the organizing principle: 12-14 hour days, proving herself, working up from front desk. Dynamism appears through entrepreneurial framing, juggling 50-60 issues, instigating change. Intelligence shows in strategic thinking ('connect the dots') but is less emphasized. Sensitivity emerges through mentorship and relationship-building but is carefully bounded—she explicitly rejects emotional decision-making while advocating face-to-face rapport. The rhetorical project seems to be: 'I earned this through sheer effort while maintaining feminine relational skills without feminine emotional liability.' She wants to be seen as legitimately achieved, not ascribed.",IFF-012,C,Epitropaki_Martin_2004,Anita Huberman,Female,9
central,illustrated,central,illustrated,absent,absent,sensitivity,0.9,0.7,0.85,0.65,"Tyranny and masculinity receive no invocation. The passages contain no evidence of authoritarian control, dominance displays, or traditionally masculine self-presentation.","P1 and P6 describe corporate consulting work with 3000+ employees at multinationals, which could suggest dynamism and intelligence in traditional business contexts, but the speaker explicitly rejects this identity ('I wasn't happy') in favor of healing work. The corporate past is presented as what they moved away from, not who they are.","This could be origin-story convention for wellness entrepreneurs: personal health crisis, mentor encounter, transformation into healer. The 'wounded healer' narrative is genre-standard in alternative health businesses, potentially strategic positioning rather than spontaneous identity work.","I hold the space strong for people || my ears are quite like, I'm just a listener when people come in || I love to help people || I can help other people || I get so inspired when someone comes into the store and tell me, oh, that helped, you changed my life || I have put my life into my business so that I can keep my doors open and serve my community || I wanted to share those experiences of my own healing journey || I followed my passion || I really wanted to understand my own body","Speaker constructs identity almost entirely through sensitivity-as-service: listening, holding space, helping, sharing healing experiences. This is not incidental but architectonic—the business exists to serve, doors stay open for community, personal life subordinated to helping others. Intelligence appears through learning multiple healing modalities and understanding body systems. Dedication shows in 'put my life into my business' and pursuing additional certifications. Dynamism is muted—multiple businesses mentioned but framed as responses to challenges rather than achievement displays. The corporate past is explicitly rejected. Rhetorically, this is 'leader as healer-servant' rather than 'leader as achiever.'",IFF-013,C,Epitropaki_Martin_2004,Lili Molavi,Female,11
illustrated,illustrated,mentioned,mentioned,absent,absent,intelligence,0.65,0.75,0.5,0.45,"Tyranny and masculinity are not invoked. Dynamism is weakly present—the speaker describes learning and teaching but not driving or energizing others. Dedication appears only through institutional affiliations, not through described effort or persistence.","The speaker explicitly rejects status hierarchy and external validation (P4-P6), which contradicts traditional leadership prototypes that emphasize authority and credibility markers. The self-presentation is anti-hierarchical.","These passages may be pedagogical framing—explaining behavior design methodology to an interviewer—rather than identity work. The juicer example and student anecdotes could be teaching illustrations, not self-characterization.","I got my training with a behavior designer, BJ Fogg, who's a professor at Stanford at the Behavior Design Lab. || I think one of the biggest lesson that I gained, you know, having my own startup and working in this field is not wanting external validation. || I tell them that, you know, it's like, if you can make a case, and if you, you know, you just go ahead and do it || not needing that external validation, I think is so empowering, that you just look at yourself and see that, okay, you know, I, anything that I want to create, I can just create it on my own.","The speaker positions themselves through intellectual lineage (Stanford labs, BJ Fogg) and methodological expertise (behavior design framework). The dominant rhetorical move is rejecting credential-based authority while simultaneously establishing it. They present as a teacher who empowers students to trust their own judgment, modeling learned self-sufficiency. The juicer example demonstrates systematic problem-solving. This is expertise presentation wrapped in anti-hierarchical language—intelligence signaling through the rejection of intelligence signaling.",IFF-014,C,Epitropaki_Martin_2004,Mariam Mobini,Female,8
illustrated,mentioned,illustrated,mentioned,absent,absent,sensitivity,0.75,0.65,0.7,0.5,Tyranny and masculinity receive no support. Dynamism is weakly evidenced—travel miles and industry longevity could indicate energy but are presented as credentials rather than as self-characterization of drive or charisma.,"The self-description 'I'm kind of boring. I'm just a Midwestern girl' actively undercuts dynamism and charisma. This is anti-prototype work, positioning herself as ordinary rather than exceptional.",These passages read as career advice and industry commentary rather than identity construction. The mentoring examples could be LinkedIn convention—demonstrating accessibility to justify platform presence—rather than core self-presentation.,"I'm kind of boring. I'm just a Midwestern girl. || Like I have students reach out to me on LinkedIn all the time for advice. || I think that it also is a really good opportunity, especially for, for students to find a mentor, find somebody that will tell you straight, tell you when you're full of it || having traveled as much as I've traveled, I've got like 4 million miles going all over the planet || I've been in this industry for about 40 years in some shape, form or fashion || don't be afraid to ask","Speaker constructs herself as accessible mentor and straight-talker rather than exceptional leader. Sensitivity emerges through mentoring examples (P9, P10) and universal human concerns (P6). Dedication shown through 40-year tenure and continued command-line use. Intelligence implied through technical longevity and global business navigation. Critically, she opens with anti-charisma ('boring,' 'Midwestern girl'), suggesting deliberate positioning as relatable guide rather than visionary. The passages function more as advice-giving than identity work—she demonstrates expertise through problem-solving examples rather than claiming leadership directly.",IFF-015,C,Epitropaki_Martin_2004,Shireen Saleh,Female,10
illustrated,illustrated,mentioned,illustrated,absent,absent,intelligence,0.65,0.75,0.5,0.6,Tyranny and masculinity receive no invocation. Dedication is referenced ('roll your sleeves up') but not developed through concrete episodes showing sustained commitment over time.,P3 and P4 describe walking away from clients and letting them 'fall' and 'make mistakes'—potentially contradicting sensitivity. P4's 'gouge your eye out with a spoon' is notably harsh. These could suggest limits to patience rather than interpersonal attunement.,"These passages read as consultant war stories and business advice rather than identity claims. The speaker is performing expertise and offering practical wisdom to students/listeners, not necessarily constructing a leadership self-concept.","If you don't know enough to ask an intelligent question, then you're stuck. And so part of this is really sitting down and working with the business goals and figuring out what the goals of the business are || you just have to break it down and be honest with them || when you would rather gouge your eye out with a spoon than talk to your customer, it's a good time to know that it's a good time to walk away || sometimes you have to jump in with both bare feet and roll your sleeves up || I think you just have to be creative","The speaker positions themselves as a seasoned technical consultant who diagnoses client needs, educates decision-makers, and knows when to disengage. Intelligence is foregrounded through problem-solving ('figuring out what the goals are'), pattern recognition (the GrocerEasy story as prescient innovation), and strategic judgment. Sensitivity appears in client education work but is bounded by pragmatism—they walk away when ineffective. Dynamism shows in entrepreneurial initiative and creative partnerships. The rhetorical mode is advisory: sharing hard-won lessons with less experienced audiences. This is consultant credibility-building more than leadership identity construction.",IFF-016,C,Epitropaki_Martin_2004,Carrie Goetz,Female,7
illustrated,mentioned,mentioned,absent,absent,absent,sensitivity,0.75,0.5,0.55,0.4,"Dynamism is not demonstrated. No urgency, bold action, or transformative energy. The speaker describes ongoing efforts ('we're trying') and support provision, but not breakthrough moments or decisive interventions.","The speaker consistently positions themselves as facilitator rather than protagonist. In P3, the immigrant entrepreneur is the actor ('he started,' 'he needed'); the speaker's organization merely 'offered' support. This is service provision, not leadership self-presentation.","This reads as organizational reporting—describing what the Surrey Board of Trade does institutionally. The 'we' is organizational, not personal. Could be answering 'what does your organization do?' rather than 'who are you as a leader?'","we're trying to change that culture, we're trying to build those opportunities, build that knowledge || He needed support in terms of connections. He needed support in terms of, you know, businesses abroad that could help him. So we offered all of that || there really needs to be more of a structured plan around immigrant entrepreneurship, and that's something that we can work on more","Speaker presents as institutional facilitator focused on supporting others—immigrant entrepreneurs, Canadian businesses navigating trade. Sensitivity emerges through attention to barriers ('businesses are risk-adverse,' need for 'connections') and support provision. Intelligence appears in policy awareness (free trade agreements, need for market diversity). But rhetoric is organizational ('we offered,' 'we can work on') rather than personal. No 'I' statements about their own development, decisions, or identity. This is program description, not self-characterization. The speaker remains invisible behind institutional activity.",IFF-017,C,Epitropaki_Martin_2004,Anita Huberman (repeat guest),Female,4
illustrated,illustrated,mentioned,illustrated,absent,absent,intelligence,0.75,0.85,0.6,0.7,"Tyranny and masculinity are completely absent. Dedication is referenced (weekly mentor check-ins, vetting associations) but not developed into a central self-presentation theme.","P6 explicitly describes strategic role-switching based on audience expectations ('we don't play with egos'), which contradicts a fixed leadership identity. The speaker presents adaptability over consistent self-presentation. P9-P10 frame gender bias as an external constraint to navigate rather than something overcome through personal leadership qualities.","These passages primarily describe strategic navigation of startup ecosystems—learning pitch conventions, accessing resources, managing bias. The speaker presents as a competent operator rather than claiming a leadership identity.","I kind of constructed my pitch || can I talk to someone from your team that is technical? And I was like, well, you can ask me || we don't play with egos || they ask me for advice || can you really mentor me because he's a very good contact for me to have","The speaker presents as strategically intelligent—researching pitch models, vetting associations, navigating gender bias by knowing when to deploy technical knowledge. Intelligence is demonstrated through learning systems (studying Airbnb pitches, constructing presentations) and tactical awareness (role-switching with co-founder). Sensitivity appears in networking approach (asking for 15 minutes, reciprocal mentoring). Dynamism shows in active resource acquisition. However, this reads more as competent entrepreneurial navigation than leadership identity construction. The 'we don't play with egos' frame suggests pragmatic role performance over identity claims.",IFF-018,C,Epitropaki_Martin_2004,Ingrid Polini,Female,10
illustrated,central,central,illustrated,absent,absent,dedication,0.75,0.85,0.95,0.7,"Tyranny and masculinity receive no support. The passages contain no claims to dominance, aggression, or traditionally masculine traits. The speaker emphasizes cooperation and family-like culture rather than control.","P5 reveals status anxiety ('your social status, all of a sudden goes down below') and defensive positioning ('I have to prove to the person that, hey, I'm trustworthy'), which contradicts confident leadership self-presentation. This is reputation management, not identity claiming.",These passages read as immigrant success narrative and business origin story. The speaker recounts career transitions and company founding but frames challenges as overcome obstacles rather than leadership moments. Much is biographical context.,"Last night, I left office at 1.30 in the morning, and it's quite common for me. || I have to work harder. Twice I had to call police because it was around three in the morning || I'm so proud of having my company where I have more than 40, actually, we are 45, then we are so close to each other. We work like a family || my biggest challenge is every time I encounter with any person who doesn't know me, I have to prove to the person that, hey, I'm trustworthy || What differentiates that two people from the crowd is their knowledge and then their passion || we get very close to people. We go to their home, we sit together, we even have lunch or dinner together","The speaker constructs identity through extreme work ethic (1:30 AM departures, staying alone during COVID) rather than strategic vision or influence. Dedication is performed through endurance narratives. Intelligence appears as educational credentials and knowledge emphasis, but defensively—compensating for realtor stigma. Sensitivity emerges in family-culture claims and client intimacy descriptions, but these could be industry convention. The dominant rhetorical move is proving legitimacy despite status loss, not claiming leadership. This is resilience narrative meeting professional credibility work.",IFF-019,C,Epitropaki_Martin_2004,Shireen Saleh,Female,10
illustrated,central,illustrated,central,absent,mentioned,intelligence,0.65,0.9,0.7,0.85,"Tyranny is entirely absent. No passages show directing, controlling, or dominating others. Masculinity appears only as reported speech about fundraising performance, not as self-characterization.","P12 explicitly rejects mixing personal relationships with business accountability, contradicting a pure dynamism/achievement orientation. P5 emphasizes including new hires in values creation rather than imposing vision, which contradicts directive leadership. The speaker describes adapting to COVID rather than pushing through it (P3).","These passages follow venture capital origin story conventions: expertise credentials, pivot narrative, fundraising war story, competitive confidence. The 'aha moment' (P2) and fundraising tactics (P7-P8) are genre requirements, not necessarily identity claims.","I'd spent a month prior to that getting everything ready so that as soon as I was ready to pitch, I had everyone lined up || fundamentally I know what I'm building is going to work || I'm an expert in that a lot of other people don't know || it really has to do with compassion and being open and honest with people || we want to make sure that they get to be included in the process of creating our values || this person literally told me like Kim you got to go in there and put your cocky pants on || let's get it live and let's learn from it and then let's iterate || I'm competitive as a person and it's kind of part of my nature","The speaker constructs expertise-based authority through pattern recognition (the TikTok insight), strategic preparation (fundraising orchestration), and domain mastery (10 years dating industry). Intelligence is performed through analytical pivots (COVID reassessment) and iterative learning philosophy. Dynamism appears in competitive self-description and rapid execution. Sensitivity emerges in protecting friends from investment pressure and including employees in values work. The 'cocky pants' reference is distanced as coaching advice, not self-description—the speaker reports performing confidence for US investors rather than claiming it as identity. This is strategic self-presentation for a founder interview: demonstrating both technical competence and interpersonal awareness.",IFF-020,C,Epitropaki_Martin_2004,Kim Kaplan,Female,12
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.85,0.7,0.75,0.6,Tyranny and masculinity are not invoked. Dynamism is present but underdeveloped—the speaker describes transitions and variety but not drive or forcefulness.,"The speaker explicitly rejects command-and-control positioning. P9-P10 emphasize uncertainty, ongoing learning, and non-linearity—anti-heroic framing that contradicts traditional dynamism. The activist roots (P4) could signal confrontation but are described as 'disconnection' needing repair, not mobilization.",This could be standard DEI consultant positioning: establishing credibility through empathy and research credentials while avoiding claims that might alienate clients. The 'I love working with women' frame serves market positioning.,"I wanted to work with people || working with entrepreneurs felt right. These are my people || I love working with women. I think they are prepared. They are so hardworking || there's so much I don't know and had no idea || we're gonna make mistakes, we're gonna constantly be learning new things || I appreciate you providing the space to talk about it || My education was in community-based research around social health","The speaker constructs identity through relational orientation and epistemic humility. Sensitivity is the organizing principle: leaving government to 'work with people,' finding 'my people' among entrepreneurs, centering women's experiences. Intelligence appears through research credentials and pattern recognition about gendered pitching differences. Dedication shows in the six-month transition and sustained focus on women in tech since 2017. Dynamism is muted—transitions happen but aren't dramatized. The repeated emphasis on not-knowing (P9-P10) and gratitude for conversational space (P11) positions the speaker as facilitator rather than authority, which is itself a gendered rhetorical choice in this domain.",IFF-021,C,Epitropaki_Martin_2004,Melanie Ewan,Female,11
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.95,0.75,0.7,0.5,Tyranny and masculinity receive no invocation. Dynamism is weakly present—the speaker advocates action but does not present themselves as energetic or forceful.,"The speaker explicitly rejects directive authority ('not giving them the sense that you know better,' 'not solutions'). This contradicts traditional command-oriented leadership and potentially undercuts dynamism as typically conceived.","This could be professional socialization in student services or counseling fields, where person-centered language is occupational convention rather than personal identity claim.","I would never sit here and tell anyone that it's gonna be a quick change. You do this and everything's gonna be great. No, no, no. Because I can't do that. That's total BS. That's setting you up for failure. || Well, I think that it's really meeting them where they're at, right? And it needs to come from a place of not giving them the sense that you know better, but that you're there as a resource to be listened to and for them to share with you. || We need to come from a position of inspiring and motivating individuals with options, not solutions. || What we do not do, and what we need to do is take the step back and actually spend some time getting to know the individual needs. || We care about our students. We care about our families. We care about our friends. || I think that I want to challenge people to openly share what their experiences are.","The speaker constructs themselves as relationally attuned and anti-authoritarian. Sensitivity dominates: rejecting assumptions, meeting people 'where they're at,' listening rather than prescribing. Intelligence appears through systems thinking about institutional support and cultural awareness. Dedication shows in sustained attention to student welfare. The rhetoric is consistently other-oriented, positioning the speaker as facilitator rather than director. This is empathetic expertise—knowing through understanding rather than knowing better than.",IFF-022,C,Epitropaki_Martin_2004,Christina (mental health specialist),Female,8
illustrated,central,illustrated,mentioned,absent,absent,intelligence,0.75,0.9,0.7,0.5,"Tyranny and masculinity are completely absent. Dynamism is weakly evidenced—the speaker describes accumulating knowledge 'quickly' and being 'really involved' but does not emphasize energy, charisma, or driving force as organizing features of their self-presentation.","The speaker positions themselves as reactive rather than proactive in several passages: 'family friends would start to come to me' (P3), 'these families and these students come to me' (P5). This is service-provider framing, not dynamic leadership. The final passage (P8) explicitly positions the speaker as uncertain and seeking help ('what does it look like...to network'), which contradicts confidence and dynamism.","This could be consultant marketing rhetoric—establishing credibility through academic credentials and institutional affiliations (UBC Senate, curriculum development) while positioning the service as client-centered and stress-reducing. The 'learner' frame may be professional branding rather than identity work.","I am a learner, first and foremost. I think that's the biggest thing to know about me. I am an avid consumer of knowledge || this hunger for knowledge and learning and a dissatisfaction with doing it slowly, wanting to accumulate all of this knowledge quickly || my job when these families and these students come to me is to shift their perspective, to remove some of that stress || I've been really fortunate to see the back end of this course development and program development || what does it look like for a small business like mine, who's a service provider, to network and find new clients","The speaker constructs identity primarily through intelligence—foregrounding learning, knowledge accumulation, academic credentials, and institutional expertise. Sensitivity appears through client-centered language about reducing stress and opening doors. However, the rhetorical work is ambiguous: this could be identity presentation or consultant positioning. The speaker describes being sought out rather than seeking, and ends by soliciting advice, which undercuts agentic leadership framing. The 'learner first' opening is strategic—it establishes intellectual credibility while signaling humility, a common professional service provider move.",IFF-023,C,Epitropaki_Martin_2004,Kirsten Morgan,Female,8
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.85,0.75,0.8,0.6,Tyranny and masculinity receive no treatment. Dynamism is invoked through 'entrepreneur' and 'global' framing but not developed through concrete episodes showing energy or charisma.,"The speaker explicitly positions themselves as thoughtful rather than excited (P7), which could contradict dynamism. The 'systems lens' (P3) and 'learning...empathy' (P5) frame suggests analytical distance rather than charismatic energy.","This could be professional self-marketing: establishing credentials, explaining service model, and demonstrating cultural competence to potential clients. The 'excited Polish person' disclaimer (P8) may be interview performance rather than identity work.","I help organizations create workplaces that work for everyone || I set up my company as a collaboration platform. So whenever I have a client for a specific project, I bring different practitioners that I know to help them on their journey || when I care about something, I'm thoughtful. So when I was answering the questions, I was thinking about it. So in terms of my culture, this is how you show that you care || I always say that I'm very excited to be here. And this is how an excited Polish person sounds like or look like","The speaker constructs themselves primarily through sensitivity: empathy, cultural awareness, inclusivity, and understanding barriers. Intelligence appears through systems thinking and critical analysis. Dedication shows in the 'journey without destination' framing and passion for immigrant inclusion. The rhetorical work centers on establishing legitimacy as a DEI practitioner who understands multiple cultural contexts. The entrepreneur framing describes business structure, not leadership identity. The speaker wants to be seen as culturally sophisticated, analytically rigorous, and genuinely committed to equity—someone who understands both systemic issues and individual experiences of exclusion.",IFF-025,C,Epitropaki_Martin_2004,Anna Kostecka,Female,8
absent,illustrated,central,illustrated,absent,absent,dedication,0.85,0.75,0.9,0.8,"No evidence for sensitivity (interpersonal awareness, consideration of others' needs). No evidence for tyranny or masculinity. The passages focus entirely on technical problem-solving and persistence, not on relational or authoritarian dimensions.","P5 and P10 emphasize individual struggle ('by myself', 'I had no help', 'zero help from anybody') which could contradict sensitivity if that dimension involves collaborative awareness. The focus on profit margins (P6, P8) and cost-cutting (P9) is transactional rather than relational.","This reads as entrepreneurial origin story—a genre convention emphasizing bootstrapping, learning curves, and resourcefulness. The 'if I can do it, you can do it' frame (P10) suggests motivational content rather than identity work.","I just passed out fliers by myself, it was 44 degrees Celsius outside, I was in the full sun in Los Angeles, I had barely had any understanding of what I was doing, I was kind of just like failing my way through || I didn't even know how to use a drill. I didn't know how electricity works. I didn't know how sprinkler controllers work. I had zero information, zero help from anybody, and I figured it out. || I did it again the next day and the next day and the next day || Energy efficiency is kind of my passion. I've always known that I wanted to work in that industry growing up || I really like that. It really helps me sleep at night","The speaker constructs themselves through a narrative of relentless self-teaching and persistence. Dedication is central: repeated daily effort, working through failure, learning technical skills from zero. Intelligence is illustrated through problem-solving (rebate systems, price negotiation, cost optimization). Dynamism appears in the rapid iteration and hustle. However, this could be standard startup storytelling rather than leadership identity—the focus is on individual grit and technical mastery, not on leading others or organizational vision. The ethical frame (P11) adds moral purpose but remains individually focused.",IFF-026,C,Epitropaki_Martin_2004,Alex Honado,Female,11
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.85,0.75,0.7,0.5,Tyranny and masculinity receive no support. Dynamism is weakly evidenced—the speaker describes systematic implementation work rather than energetic action or charismatic drive.,"The anecdote in P5 about someone throwing folders could position the speaker as imposing change (tyranny-adjacent), but they frame it as a learning experience about resistance rather than a conflict they won. The emphasis throughout is on collaboration and hearing people, which contradicts any tyrannical reading.",This could be consultant marketing rhetoric—demonstrating expertise and client-centered approach to justify services. The emphasis on listening and collaboration may reflect professional positioning rather than personal identity.,"I had to collaborate with a very old team. We found the software that was suitable for us || if they were heard and if they were involved in the discussion from the very beginning || you still need people to be ready to adopt those mandatory changes || people need to have very good people skills, very good change management skills || we're ready to hear people. Because instead of imposing something || We always prepare personalized user instruction for each company || It's not to complexify their life, it's to simplify their life","The speaker constructs themselves as a collaborative change agent who learned from resistance. Sensitivity dominates: repeated emphasis on hearing people, involving them, preparing personalized support. Intelligence appears through problem-solving (finding suitable software, creating user instructions). Dedication shows in detailed preparation work. The folder-throwing anecdote is rhetorically crucial—it positions early career resistance as formative, teaching them that technical solutions require human readiness. They want to be seen as someone who implements change through empathy and preparation, not imposition. The repeated 'we' and client focus suggests consultant identity work.",IFF-027,C,Epitropaki_Martin_2004,Elena Pomazanova,Female,8
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.95,0.75,0.8,0.6,Tyranny and masculinity receive no support. Dynamism is implied through activity descriptions but not foregrounded as a self-characteristic. The passages focus overwhelmingly on interpersonal attunement rather than drive or energy.,"P9 explicitly frames privilege as creating blindness and potential harm ('steamrolls over someone else'), which contradicts pure sensitivity. P7's observation about CEO regression could suggest judgment rather than empathy, though it's presented as clinical observation.","These passages read as professional self-presentation in the DEI consulting space. The speaker establishes credentials, demonstrates awareness of social justice discourse, and models the reflexivity expected in this field. Identity work or market positioning?","I kept thinking, you know, meta, Microsoft, you need to get on this, make spaces, make welcome mats, make accessible places that when anybody who does have intersectional minority status comes in, they're going to say, they're ready for me. || can you just send me some pictures of your wheelchair and we'll figure it out? And so he did, and we built it. || we slowed it way down. And we talked about what it meant to feel disrespected and what it meant to respect and how we could create environments that fit everybody better. || I have privilege. I have so much privilege in the world. And that's going to make me blind at times to how I'm taking up space. || How do we create relationships and spaces of belonging for the people that are the last to be included? || my Spidey senses tweaked. And I said, can you just send me some pictures of your wheelchair and we'll figure it out?","Speaker constructs identity around interpersonal attunement and inclusion work. Sensitivity is performed through concrete helping episodes (wheelchair building, slowing down for conflict) and meta-commentary on privilege. Intelligence appears through clinical framing ('regression') and model development. The rhetorical project is establishing authority as someone who notices exclusion, responds to discomfort, and centers marginalized voices. Self-presentation is heavily shaped by DEI professional discourse—reflexive about privilege, careful about language ('tribe' as microaggression). Wants to be seen as both expert and humble learner.",IFF-028,C,Epitropaki_Martin_2004,Ruth Diaz,Female,11
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.85,0.7,0.75,0.6,Tyranny and masculinity receive no invocation. Dynamism is implied through founding activity but not developed as self-presentation. The passages focus heavily on understanding others' struggles rather than personal drive or energy.,"The speaker positions themselves as having struggled and learned through difficulty ('struggling international student', 'couldn't even find a minimum wage job') rather than through natural capability or charismatic force. This undercuts dynamism as a central prototype.","These passages follow startup origin-story conventions: founder identifies with customer pain point, discovers market gap, builds solution. The empathy framing may be strategic positioning for a social enterprise rather than identity work.","I realized that a lot of my friends are also struggling and the industry is not stopping here. There are so many more international students coming to Canada and yet there's no support system for them. || making sure that you can meet someone that you can trust and then know that they understand you know that they would not discourage you || I think the number one thing because of that mindset, sometimes students just shy away from selling themselves || I really work really, really hard to get a full-time job or even an internship in Canada || you have to either like really personalize your application, or really network networking, which is mean, you know, talking to the right people","Speaker constructs identity around empathetic understanding of marginalized experience. Sensitivity is central: recognizing others' struggles, building trust-based community, understanding psychological barriers ('shy away'). Intelligence shown through strategic insight (employers' ignorance, quality-over-quantity approach). Dedication illustrated through personal struggle narrative and persistence. Dynamism only weakly present—founding described as response to need rather than personal drive. Rhetorically positions self as insider-advocate who understands both immigrant vulnerability and system navigation, not as charismatic entrepreneur or visionary.",IFF-029,C,Epitropaki_Martin_2004,Pat Jason,Female,8
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.9,0.7,0.6,0.5,Tyranny and masculinity are not invoked. Dynamism is implied through action-taking but not explicitly developed as a self-characteristic.,P2 shows withdrawal and confusion rather than decisive action. 'I was confused. So I took some time off from work' and 'I kind of dismissed it' contradict dynamism. The speaker describes needing to learn from others rather than leading through expertise.,This could be origin-story convention: immigrant struggle narrative followed by community-building success. The sensitivity emphasis may be strategic positioning for a women's community business rather than spontaneous self-presentation.,"I just know how to make people comfortable. And I just make them feel like this is just your friends outside of your friend circle. || I feel like you don't really need to care so much because like you're going there being yourself and you're going to find people who are similar as you or they appreciate you for being who you are. || I was really shy about my accent for sure. Like people, I was like, Oh, I'm gonna have an accent and they're gonna make fun of me. || I went through a divorce, so it was my, it was the first time ever pretty much in Canada I was alone. || I just start to going out, just talking to people. || I got like a pretty good reputation because of my background in fine art. I do have aesthetics.","Speaker constructs identity around interpersonal attunement and creating comfort for others, especially immigrants. Sensitivity is the organizing frame: 'I just know how to make people comfortable.' Intelligence appears through aesthetic expertise and social insight ('A lot of this is all in our head'). Dedication shown through persistence after personal crisis. The narrative arc moves from isolation to connection-making, positioning the speaker as someone who understands outsider experience and creates belonging. Rhetorically, this is host-as-healer: vulnerability transformed into capacity to help others feel safe.",IFF-030,C,Epitropaki_Martin_2004,Juliana Lopez,Female,9
illustrated,illustrated,central,central,absent,absent,dedication,0.65,0.7,0.85,0.8,Tyranny and masculinity receive no treatment. Sensitivity is present but underdeveloped—the speaker acknowledges team dependence but does not elaborate interpersonal attunement or relational skill.,"P6-P9 show pragmatic compromise over values ('my personal values... There's no way'), which could contradict dedication if dedication means unwavering principle. However, the speaker frames this as strategic focus ('what is the one problem'), so it may reinforce rather than falsify dedication to impact.",This reads as origin story convention—the entrepreneurial journey narrative (passion→learning→prototype→validation). The 'what led me here' frame (P1) signals biographical accounting rather than spontaneous identity work.,"My whole life I was really, really passionate just about environmental causes || I ended up just kind of letting it take over my life || I think that's always been my skill set is like, what do we need to do next? || I couldn't do this without a whole team || You have to survive || what is the one problem that we're solving as a startup?","Speaker constructs self through relentless forward motion: passion→activism→science→entrepreneurship (P1), world travel for knowledge (P3), prototype demonstration (P4). Dedication is organizing principle ('let it take over my life' P2). Dynamism appears in future orientation ('what's coming up next year' P5). Intelligence shown through strategic problem-framing (P9). Sensitivity emerges in team acknowledgment (P5) but remains instrumental. The pragmatic turn (P6-P8) positions the speaker as realistic rather than idealistic, reframing values compromise as strategic focus. Rhetorically, this is 'serious founder' work—demonstrating both passion and hard-won pragmatism.",IFF-031,C,Epitropaki_Martin_2004,Paige ,Female,10
illustrated,illustrated,illustrated,illustrated,absent,absent,intelligence,0.65,0.75,0.7,0.6,"Tyranny and masculinity receive no treatment. The passages focus on learning, adaptation, and helping others rather than dominance or traditionally masculine traits.","The speaker emphasizes humility and modesty in others (P6) and warns against appearing 'memorized' or 'trained' (P8), which could contradict a self-presentation of intelligence if applied reflexively. The narrative of manual labor (cleaning, dishwashing) before IT success could undercut claims to inherent capability.",This reads as immigrant success narrative and business origin story. The progression from manual labor to IT consultant to founder follows a conventional entrepreneurial arc. Could be company mythology rather than identity work.,"I didn't speak a word of English. And even though I had Three universities behind my back || I need to go through 15, 20 interviews, right, to land the next contract || my first task to assemble a small team of five, six people usually means I need to go through 50, 60 interviews || the learning was incredible. I'm really grateful for the experience I had || We have a team of absolutely brilliant people, including leading AI scientists || our job is to encourage and motivate them to include everything","Speaker constructs expertise through accumulated experience rather than innate talent. Intelligence emerges from volume (50-60 interviews) and pattern recognition across roles. Sensitivity appears in coaching others to present themselves better. Dedication shown through repeated adaptation (immigrant journey, constant contract renewal). Dynamism present but muted—more about persistence than charisma. The rhetorical work centers on legitimating expertise through experiential credentials while maintaining helper/enabler positioning. Wants to be seen as someone who learned the system and now guides others through it.",IFM-001,C,Epitropaki_Martin_2004,Boros Peludo,Male,9
