observing,experimenting,evaluating,repertory_source,identity_trajectory,sequence_observed,confidence_observing,confidence_experimenting,confidence_evaluating,confidence_trajectory,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
insufficient_evidence,implied,both,unclear,arrived,no clear observe phase; evaluation appears throughout career; experimentation implied in 'worked my way up' but not detailed,0.1,0.3,0.7,0.8,observing: no role models named or described; no mention of watching others to learn the CEO role,"P7 positions speaker as mentor to others, suggesting 'arrived' status rather than provisional experimentation. P3 'I run the organization like a business' is declarative present tense, not experimental. P4 'I had to build my brand' describes strategic action, not identity exploration.",This reads as a success narrative emphasizing meritocracy and overcoming barriers. The speaker constructs legitimacy through hard work and results rather than exploring possible selves.,"at the age of 32 I applied for the top job and it was very, you know, it wasn't something that was normal for a young lady, a South Asian woman to apply for such a prestigious position || I really had to build my brand and to show that, you know, I could do what was needed to be done || I've learned that along the journey || I think every female leader has an obligation to be a mentor","Speaker constructs a retrospective narrative of legitimacy-building rather than identity experimentation. The rhetoric emphasizes proving competence against skepticism ('prove myself,' 'build my brand') and having arrived at an established identity ('every female leader,' 'my role as a CEO'). The passages describe career progression and strategic positioning, not provisional trials. Identity appears settled, not exploratory. The 'learning' mentioned is tactical (manage emotions, gather facts) not ontological.",IFF-012,B,Ibarra_1999,Anita Huberman,Female,9
named_role_model,explicit_experimentation,both,prior_professional,becoming,"observe->experiment->evaluate, but driven by health crisis rather than role transition planning",0.85,0.9,0.8,0.75,No evidence of systematic observation of multiple role models. The mentor appears as a single turning point rather than part of deliberate identity exploration.,"P1, P5, P6 frame this as escape from corporate life rather than aspiration toward a new identity. 'I wasn't happy' and 'stress and anxiety' suggest rejection of prior self rather than construction of new self. P9 'created my businesses out of my own challenges' positions entrepreneurship as problem-solving, not identity work.","This reads as an origin story for a wellness business, emphasizing personal transformation to establish credibility with clients. The 'I healed myself, now I help others' narrative is a genre convention in alternative health entrepreneurship.","one day I read an article in the North Shore News that one person has seen cancer patients gets well with nutrition and natural medicine. So I phoned her, I met up with her and then she became my mentor. || I told myself if I can help myself manage those symptoms, I can help other people. || I get so inspired when someone comes into the store and tell me, oh, that helped, you changed my life || I have built a space that I hold the space strong for people. || I created my businesses out of my own challenges and then I followed my passion.","Speaker constructs a conversion narrative: corporate consultant transformed by health crisis into wellness entrepreneur. The rhetoric emphasizes authenticity through suffering ('my own challenges') and service ('help people'). Identity work is present but subordinated to establishing credibility. The mentor functions as catalyst rather than model to emulate. Evaluation comes primarily from client feedback ('you changed my life'), positioning the speaker as healer. The trajectory is 'becoming' but the passages show arrival at helper identity more than ongoing experimentation. Chronology appears speaker-driven, structured as before/after transformation.",IFF-013,B,Ibarra_1999,Lili Molavi,Female,11
named_role_model,explicit_experimentation,both,institutional,becoming,"observe->experiment->evaluate, with explicit rejection of earlier observing pattern",0.85,0.7,0.9,0.75,No clear evidence of arriving at a stable identity. The speaker describes recent change ('it's been only a year') suggesting ongoing transition rather than completion.,"The speaker explicitly rejects a key element of observing role models (P4-P6: 'not wanting external validation,' 'I need their approval'). This suggests movement AWAY from traditional provisional self development through observation. The identity work may be about becoming independent of role models rather than emulating them.","This could be a pedagogical narrative about behavior design methodology rather than identity work. The juicer example (P3) and student teaching (P7) frame the speaker as an expert explaining principles, not necessarily claiming a transformed self.","I got my training with a behavior designer, BJ Fogg, who's a professor at Stanford at the Behavior Design Lab. || it's been only a year that I stopped doing this. Okay. So is that I would like wanting to mentors or like, you know, someone who has a higher status || not needing that external validation, I think is so empowering, that you just look at yourself and see that, okay, you know, I, anything that I want to create, I can just create it on my own. || I see my students even that they, they look at me and they say, okay, is this idea good or not, right?","Speaker positions themselves as institutionally credentialed (Stanford labs, trained by named expert) but describes recent shift away from seeking validation from high-status others. The rhetorical work is complex: claiming expertise through affiliation while simultaneously claiming independence from needing approval. Teaching students (P7) positions speaker as authority, yet the 'only a year' timeframe (P6) suggests incomplete transition. This may be strategic positioning as both insider (credentialed) and maverick (independent). The behavior design examples could be demonstrating expertise rather than narrating identity change.",IFF-014,B,Ibarra_1999,Mariam Mobini,Female,8
insufficient_evidence,insufficient_evidence,insufficient_evidence,prior_professional,arrived,no sequence visible; speaker presents as established expert giving advice to others,0.2,0.2,0.3,0.7,observing: no role models mentioned; experimenting: no trials or provisional selves described; evaluating: advice-giving to others rather than self-evaluation,"P8-P10 show speaker positioned as mentor/advisor to students seeking career guidance, which contradicts identity formation and suggests already-established professional identity. P1 'I've been in this industry for about 40 years' and P6 '4 million miles going all over the planet' present accumulated expertise rather than identity transition.","These passages construct authority through career longevity and geographic scope. The speaker positions herself as experienced advisor rather than someone navigating identity transition. This is credential establishment, not identity work.","I've been in this industry for about 40 years in some shape, form or fashion || I've got like 4 million miles going all over the planet. So I could say this with pretty decent authority || I have students reach out to me on LinkedIn all the time for advice || find a mentor, find somebody that will tell you straight, tell you when you're full of it","Speaker constructs authority through temporal depth (40 years) and spatial breadth (global travel). Rhetorically positions herself as established expert who mentors others rather than someone experimenting with professional identity. The mentor-positioning in P9-P10 inverts the provisional-self framework: she advises others to find mentors, implying she has transcended that need. No evidence of observing role models, experimenting with provisional selves, or evaluating feedback about her own identity. This is retrospective expertise narrative, not prospective identity formation.",IFF-015,B,Ibarra_1999,Shireen Saleh,Female,10
insufficient_evidence,implied,external_feedback,prior_professional,arrived,No clear developmental sequence; speaker presents as established expert reflecting on past experiences rather than transitioning into a role,0.2,0.4,0.6,0.7,"observing: No role models mentioned or identified. The speaker does not describe watching others or learning from exemplars. experimenting: While P1 describes developing GrocerEasy and P5 mentions trying new things, these are framed as business activities and learning philosophy, not as trying on a professional identity.","P3's 'you just have to break it down and be honest with them' and P4's discussion of walking away from clients suggest an established expert identity, not someone experimenting with provisional selves. The advisory stance ('sometimes you have to let them make their mistakes') positions the speaker as already occupying an authoritative role rather than trying one on. P6's advice to students ('start journaling') further positions speaker as mentor/expert, not learner.","These passages read as war stories and professional advice from an established consultant, not identity work. The speaker is demonstrating expertise and credibility through anecdotes (GrocerEasy, difficult clients) rather than narrating how they became who they are.","I would be a millionaire now if that had gone you know there's times when there's times when things are innovative and you decide when you want to bite || when you would rather gouge your eye out with a spoon than talk to your customer, it's a good time to know that it's a good time to walk away || sometimes you have to jump in with both bare feet and roll your sleeves up and, you know, make something work and don't be afraid to try something that that's new || you need to be in the habit of doing that because five years from now, you're not going to remember that you did that","Speaker performs established consultant identity through advice-giving and retrospective storytelling. The GrocerEasy narrative functions as credentials ('I was ahead of my time'), not identity exploration. Passages P2-P4 demonstrate mastery through client management wisdom. P5-P6 shift to mentoring mode, advising students. The rhetorical work is establishing authority and expertise, not narrating identity transition. Evaluating appears only as external feedback from market/clients (grocers rejecting GrocerEasy), not as self-reflection on identity fit. No evidence of observing role models or conscious experimentation with professional selves.",IFF-016,B,Ibarra_1999,Carrie Goetz,Female,7
insufficient_evidence,insufficient_evidence,insufficient_evidence,institutional,insufficient_evidence,no sequence of identity tasks evident,0.1,0.1,0.1,0.1,"All three tasks (observing, experimenting, evaluating) show no evidence. The passages describe organizational activities and policy positions, not personal identity work.","The speaker consistently uses 'we' to describe institutional actions ('we try', 'we did take a trade mission', 'we offered all of that'). This is organizational reporting, not personal identity exploration. The speaker positions themselves as spokesperson for the Surrey Board of Trade, not as someone experimenting with or evaluating a new professional self.","This is institutional advocacy and organizational reporting. The speaker describes the Board of Trade's programs, policy positions on trade diversification, and success stories of client businesses. It reads as a stakeholder update or promotional narrative, not identity work.","we try as well, but businesses are very risk-adverse in terms of doing business internationally || We did, on the Surrey Board of Trade, we did take a trade mission to Dubai || So we've had a variety of immigrants start their businesses through the business center at the Surrey Board of Trade || that's something that we can work on more and that we need to work on more here at the Surrey Board of Trade","Speaker operates entirely in institutional voice, describing organizational programs and policy positions. No personal pronouns indicating individual experience. The narrative focuses on what the Board of Trade does for others (immigrant entrepreneurs, businesses) rather than the speaker's own professional becoming. This is advocacy work and organizational reporting, not provisional self experimentation. The speaker wants to be seen as an effective institutional representative addressing trade policy challenges.",IFF-017,B,Ibarra_1999,Anita Huberman (repeat guest),Female,4
named_role_model,explicit_experimentation,both,peers_founders,becoming,"observe->experiment->evaluate, with ongoing iteration",0.85,0.9,0.8,0.7,No evidence of family-based role models or institutional templates being primary sources,"P9 suggests ongoing struggle with legitimacy ('they usually say, oh, can I talk to someone from your team that is technical?'), contradicting a narrative of having 'arrived' at a stable CEO identity. The strategic deployment described in P6 ('we don't play with egos... they like to see the like the young') suggests performance rather than internalized identity.",This could be strategic advice-giving about networking and pitching rather than identity work. The speaker may be demonstrating competence to the interviewer by showcasing their learning process and resource acquisition.,"there's a lot of content online is like how did big companies like Airbnb when they were a startup, they were, you know, pitching, how did they pitch? What was the order? || I have mentors that came from one of the accelerator programs. Then now he checks in with me basically weekly because I asked him to. || I would contact like, hey, could I have 50, not even 30, 15 minutes of your time to ask you a couple of questions, I'm doing a startup right now. || we always have a joke that we don't play with egos. So if we see, for example, we have a client that is a little bit from an older generation, we would usually send her instead of me || they usually say, oh, can I talk to someone from your team that is technical? And I was like, well, you can ask me if I can't answer || other startup CEOs that are peers and they ask me for advice, which is something that is not, it doesn't happen as often in Brazil","The speaker presents themselves as an active learner who systematically acquires CEO competencies through observation (Airbnb pitch decks), experimentation (pitch competitions, strategic self-presentation), and evaluation (mentor feedback, peer validation). The rhetoric emphasizes agency ('I asked him to') and strategic adaptation to context. However, the identity work is incomplete: technical credibility remains contested (P9), and legitimacy appears situational rather than internalized. The comparison to Brazil (P10) suggests emerging recognition but stops short of claiming a stable CEO identity. This is provisional self-work in progress, not arrival.",IFF-018,B,Ibarra_1999,Ingrid Polini,Female,10
named_role_model,explicit_experimentation,both,prior_professional,arrived,"observe->experiment->evaluate, though the trajectory appears complete rather than ongoing",0.6,0.7,0.8,0.7,"The observing task shows limited evidence - only one named role model (Stephanie) who advised AGAINST further education, not toward a specific professional identity. No role models are mentioned for the real estate/business owner identity.","P5 explicitly describes ongoing identity struggle: 'my biggest challenge is every time I encounter with any person who doesn't know me, I have to prove to the person that, hey, I'm trustworthy.' This contradicts an 'arrived' status. The speaker frames this as persistent ('every time'), suggesting the identity work remains incomplete despite business success.","This reads primarily as immigrant success narrative and business origin story. The speaker emphasizes credentials (PhD, associate professor), work ethic ('left office at 1.30'), company values, and resilience. Identity struggle appears secondary to demonstrating legitimacy and achievement.","it was always my dream to study MBA, always || it was from day one, it was my dream to have my own company where I can implement my own values || when you come and work as a salesperson, especially if you're a realtor, your social status, all of a sudden goes down below || Shireen, you gotta stop getting degrees, and after the degrees, stop it. You go to work || I'm proud of that achievement","Speaker constructs legitimacy through educational credentials while acknowledging status loss in transition from professor to realtor. The rhetoric emphasizes intentionality ('always my dream') and values-driven action ('implement my own values'). Identity work centers on managing the professor-to-salesperson status contradiction. The 'arrived' coding reflects business ownership achievement, but P5's persistent need to 'prove' trustworthiness suggests unresolved identity tension. This is less about becoming a leader than about defending professional legitimacy after occupational downgrade.",IFF-019,B,Ibarra_1999,Shireen Saleh,Female,10
insufficient_evidence,explicit_experimentation,both,prior_professional,arrived,"no clear observe phase; speaker presents as already expert, then experiments (P3, P10), evaluates via market response (P9) and internal conviction (P11)",0.1,0.75,0.7,0.65,"observing: no role models mentioned, no learning from others' identities; speaker positions self as already expert (P4) rather than becoming one","P4 'I would say I'm an expert' and P9 'my experience...is very different than what most people experience' suggest identity is claimed as already established, not provisional. P11 'fundamentally I know what I'm building is going to work' shows certainty incompatible with provisional self-experimentation. The 'cocky pants' coaching (P7) is about performance for fundraising, not identity exploration.",This reads as strategic self-presentation to justify founder credibility and fundraising success. The speaker constructs expertise retrospectively to explain why investors said 'done' (P9). Identity claims serve to differentiate from 'most people' and establish competitive advantage.,I would say I'm an expert in that a lot of other people don't know || let's get it live and let's learn from it and then let's iterate because what I believe to be true might not end up being true || fundamentally I know what I'm building is going to work || you got to go in there and put your cocky pants on like you've got to act a certain way || I would just have conversations and it would be like this where you get to know them Versus having them like there's only so much screen real estate || my experience and what I was doing is very different than what most people experience,"Speaker performs founder identity as already-achieved expertise rather than provisional experimentation. The 'aha moment' (P2) and iteration language (P10) suggest exploration, but framing emphasizes certainty ('fundamentally I know,' 'I'm an expert'). The coached performance for US investors (P7-8) reveals identity work as strategic adaptation to audience expectations rather than internal development. Rhetorical goal appears to be establishing credibility through differentiation: 10 years experience, unique insight, competitive confidence. The passages show someone narrating why they succeeded at fundraising, not how they became a founder.",IFF-020,B,Ibarra_1999,Kim Kaplan,Female,12
named_role_model,explicit_experimentation,both,prior_professional,becoming,"observe->experiment->evaluate: P2 describes observing entrepreneur role model, P3 describes experimenting ('working with entrepreneurs felt right'), P4-P5 describe evaluating and refining identity ('becoming an advisor')",0.85,0.75,0.7,0.8,Limited evidence for internal standards in evaluation. P9-P10 discuss change and learning but do not explicitly evaluate provisional self against internal criteria. External feedback is implied (working with entrepreneurs 'felt right') but not detailed.,P1 describes dissatisfaction with prior role through action ('taking on volunteer roles') not identity language. P3 'these are my people' could be affinity claim rather than identity claim. No explicit statement 'I am an entrepreneur' or 'I became a leader' - only 'becoming an advisor' in P4.,"This could be career narrative rather than identity work: chronological account of job transitions (government to startup ecosystem) emphasizing skill development and professional pivots, not self-concept transformation.",I heard him talking about what it was like to be an entrepreneur for 15 plus years and asked him to sit down and tell me about that || working with entrepreneurs felt right. These are my people || I was missing kind of the activist roots that I used to have || how I was growing and becoming an advisor and working with entrepreneurs || it's very difficult to change and it takes a very long time,"Speaker constructs narrative of professional migration from government to startup ecosystem, positioning themselves as bridge figure (researcher, advisor, advocate). Rhetorical work emphasizes belonging ('my people') and mission alignment (activist roots, women in tech) rather than entrepreneurial identity per se. Wants to be seen as insider-advocate who understands entrepreneurs while maintaining distinct professional identity. The 'becoming an advisor' phrase (P4) is only explicit identity claim, suggesting incomplete or resisted entrepreneurial identification.",IFF-021,B,Ibarra_1999,Melanie Ewan,Female,11
