transcript_id,guest_name,gender,outsider_present,primary_type,secondary_type,literal_migration,function,confidence,anchor_quote,note
IFM-015,Graham Szasz,M,yes,immigrant_migrant,,yes,mission_driver,0.9,"especially for the immigrant entrepreneurs, there is another opportunity for us to help them",Iranian serial entrepreneur->VC; explicitly funds Persian/immigrant founders.
IFM-016,Hamid and Rezaq,M,yes,immigrant_migrant,career_switcher,yes,none,0.6,Came to Canada in 2011 doing my research at UBC,"Immigrant data-scientist founder; migration noted, lightly framed."
IFM-017,Marcus,M,no,none,,no,none,0.75,,"British What3Words exec; travels, but no outsider identity."
IFM-018,Adam Chantz,M,no,none,,no,none,0.8,,Creative/agency -> personalization commerce; no outsider framing.
IFM-019,Jake McEvan,M,no,none,,no,none,0.7,,Brief advice-only passages; no outsider framing.
IFM-020,Jack Smith,M,yes,indigenous,,no,mission_driver,0.55,these cultural matches are really important,Works in Indigenous economic development/capacity-building; own Indigenous identity not explicitly claimed.
IFM-021,Taylor,M,no,none,,no,none,0.75,,"'Very basic guy', sports+tech; no outsider framing."
IFM-022,Mehboud,M,yes,immigrant_migrant,career_switcher,yes,mixed,0.8,I came to Canada studying a PhD in construction management... it just takes forever to get a job in academia,Immigrant academic who left academia; construction->real estate->tech pivots.
IFM-023,Dan,M,no,none,,no,none,0.6,,AR/VR veteran; generational ('someone of my age') but not an outsider identity.
IFM-024,Imran Muna,M,no,none,,no,none,0.6,,"EdTech founder; heavily team/relational, no migration framing in passages."
IFM-025,AKA,M,yes,immigrant_migrant,,yes,mixed,0.9,I came here into Canada in 2017... It was a shock for me not to see that I could easily grab my go-to food,Nigerian immigrant; food/community gap becomes the venture (Nigerian cuisine + African-store platform).
IFM-026,Toby Chu,M,yes,immigrant_migrant,racial_ethnic,yes,mixed,0.85,"when I was in Canada in 1969, I was the only Asian-looking person in my entire school",Long-settled immigrant; historical racial-outsider; Asian-market ties + multilingual staff as asset.
IFM-027,Garry Wilson,M,yes,indigenous,,no,mission_driver,0.9,when I acknowledge myself as Haisla... I'm also practicing our laws,Indigenous leader; conservation/decolonial 'eco'-economy grounded in ancestral values.
IFM-028,Steven Fluevog,M,no,none,,no,none,0.6,,"Childhood mobility -> adaptability, but not an outsider identity."
IFM-029,Kevin Voss,M,no,none,,no,none,0.8,,Biochem PhD -> biotech; no outsider framing.
IFM-030,Rolph,M,no,none,,no,none,0.85,,Veteran consultant; no outsider framing.
IFM-031,Tanvir Asan,M,yes,immigrant_migrant,career_switcher,yes,mixed,0.75,"the moment we born, they said you are an engineer... enough with engineering, you have to be a doctor",Immigrant (2012); cultural/family expectations; pharmacist->tech/recycling serial founder.
IFM-032,Robert Boyas,M,no,none,,no,none,0.85,,"Rent-reporting founder; mother-as-banker origin, no outsider framing."
